mc_number,mc_number_anon,doi,Journal,doi_article_prefix,container.title,published.print,issue,title,volume,author,issn,year,match,mc_prefix
AEJApp-2016-0307,NA,10.1257/app.20160307,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-04-01,2,The Economic Impact of Hurricane Katrina on Its Victims: Evidence from Individual Tax Returns,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2017-0416,NA,10.1257/app.20170416,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-01-01,1,Women’s Empowerment in Action: Evidence from a Randomized Control Trial in Africa,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2017-0117,NA,10.1257/app.20170117,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-04-01,2,Adverse Selection in ACA Exchange Markets: Evidence from Colorado,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0288,NA,10.1257/app.20170288,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-04-01,2,"Soft Commitments, Reminders, and Academic Performance",11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2015-0581,NA,10.1257/app.20150581,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-01-01,1,Hospitals as Insurers of Last Resort,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2017-0201,NA,10.1257/app.20170201,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-07-01,3,Reducing Child Mortality in the Last Mile: Experimental Evidence on Community Health Promoters in Uganda,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2015-0234,NA,10.1257/app.20150234,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-04-01,2,Financial Incentives and the Fertility-Sex Ratio Trade-Off,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2016-0232,NA,10.1257/app.20160232,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-10-01,4,Diabetes and Diet: Purchasing Behavior Change in Response to Health Information,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2017-0066,NA,10.1257/app.20170066,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-04-01,2,Flooded Cities,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2015-0310,NA,10.1257/app.20150310,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-01-01,1,The Causal Effect of Competition on Prices and Quality: Evidence from a Field Experiment,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0226,NA,10.1257/app.20170226,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-07-01,3,Does Teacher Training Actually Work? Evidence from a Large-Scale Randomized Evaluation of a National Teacher Training Program,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0505,NA,10.1257/app.20170505,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-01-01,1,Do Energy Efficiency Investments Deliver at the Right Time?,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2015-0365,NA,10.1257/app.20150365,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-04-01,2,Education and Mortality: Evidence from a Social Experiment,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2016-0278,NA,10.1257/app.20160278,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-01-01,1,For Better or for Worse?: Education and the Prevalence of Domestic Violence in Turkey,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2018-0155,NA,10.1257/app.20180155,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-04-01,2,"Charging Ahead: Prepaid Metering, Electricity Use, and Utility Revenue",12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2014-0105,NA,10.1257/app.20140105,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-07-01,3,Prestige Matters: Wage Premium and Value Addition in Elite Colleges,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2017-0080,NA,10.1257/app.20170080,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-10-01,4,Economic Shocks and Crime: Evidence from the Brazilian Trade Liberalization,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2017-0113,NA,10.1257/app.20170113,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-10-01,4,Foreign Rivals Are Coming to Town: Responding to the Threat of Foreign Multinational Entry,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2018-0138,NA,10.1257/app.20180138,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-07-01,3,Front-Loading the Unemployment Benefit: An Empirical Assessment,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2016-0183,NA,10.1257/app.20160183,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-07-01,3,Exploiting Externalities to Estimate the Long-Term Effects of Early Childhood Deworming,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2018-0435,NA,10.1257/app.20180435,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-01-01,1,All the Single Ladies: Job Promotions and the Durability of Marriage,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2018-0011,NA,10.1257/app.20180011,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-10-01,4,Regulating Markups in US Health Insurance,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0430,NA,10.1257/app.20170430,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-07-01,3,Supporting Community College Students from Start to Degree Completion: Long-Term Evidence from a Randomized Trial of CUNY’s ASAP,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0616,NA,10.1257/app.20170616,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-10-01,4,Trade and Income—Exploiting Time Series in Geography,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2018-0698,NA,10.1257/app.20180698,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-07-01,3,What is the Added Value of Preschool for Poor Children? Long-Term and Intergenerational Impacts and Interactions with an Infant Health Intervention,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2018-0248,NA,10.1257/app.20180248,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-10-01,4,Leader Selection and Service Delivery in Community Groups: Experimental Evidence from Uganda,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2016-0066,NA,10.1257/app.20160066,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-07-01,3,Ethnolinguistic Favoritism in African Politics,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2016-0650,NA,10.1257/app.20160650,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-07-01,3,Socializing at Work: Evidence from a Field Experiment with Manufacturing Workers,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0048,NA,10.1257/app.20170048,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-04-01,2,Do Risk Preferences Change? Evidence from the Great East Japan Earthquake,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2017-0571,NA,10.1257/app.20170571,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-07-01,3,Family Disadvantage and the Gender Gap in Behavioral and Educational Outcomes,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0111,NA,10.1257/app.20170111,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-07-01,3,"Capital Cities, Conflict, and Misgovernance",11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2018-0306,NA,10.1257/app.20180306,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-01-01,1,A Precinct Too Far: Turnout and Voting Costs,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2015-0431,NA,10.1257/app.20150431,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-04-01,2,Neighborhood Sanitation and Infant Mortality,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2018-0201,NA,10.1257/app.20180201,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-04-01,2,Gender Homophily in Referral Networks: Consequences for the Medicare Physician Earnings Gap,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2016-0664,NA,10.1257/app.20160664,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-04-01,2,Changes in Workplace Heterogeneity and How They Widen the Gender Wage Gap,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0173,NA,10.1257/app.20170173,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-07-01,3,The Impacts of Industrial and Entrepreneurial Work on Income and Health: Experimental Evidence from Ethiopia,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2018-0047,NA,10.1257/app.20180047,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-07-01,3,The Competitive Effects of Entry: Evidence from Supercenter Expansion,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2018-0438,NA,10.1257/app.20180438,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-04-01,2,"Taken by Storm: Hurricanes, Migrant Networks, and US Immigration",12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2016-0426,NA,10.1257/app.20160426,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-10-01,4,Modern Family? Paternity Leave and Marital Stability,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2016-0127,NA,10.1257/app.20160127,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-04-01,2,Borrowing Trouble? Human Capital Investment with Opt-In Costs and Implications for the Effectiveness of Grant Aid,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2018-0574,NA,10.1257/app.20180574,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-07-01,3,One in a Million: Field Experiments on Perceived Closeness of the Election and Voter Turnout,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2016-0395,NA,10.1257/app.20160395,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-10-01,4,Access to Migration for Rural Households,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2016-0262,NA,10.1257/app.20160262,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-04-01,2,Property Rights and Gender Bias: Evidence from Land Reform in West Bengal,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0128,NA,10.1257/app.20170128,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-07-01,3,Long-Run Effects of Temporary Incentives on Medical Care Productivity,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2016-0547,NA,10.1257/app.20160547,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-07-01,3,Saving by Default: Evidence from a Field Experiment in Rural India,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2018-0302,NA,10.1257/app.20180302,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-10-01,4,"E-governance, Accountability, and Leakage in Public Programs: Experimental Evidence from a Financial Management Reform in India",12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2017-0647,NA,10.1257/app.20170647,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-07-01,3,The Impact of Information Technology on the Diffusion of New Pharmaceuticals,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2017-0497,NA,10.1257/app.20170497,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-01-01,1,Labor Drops: Experimental Evidence on the Return to Additional Labor in Microenterprises,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0670,NA,10.1257/app.20170670,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-01-01,1,Financial Incentives as Signals: Experimental Evidence from the Recruitment of Village Promoters in Uganda,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2015-0241,NA,10.1257/app.20150241,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-01-01,1,The Price of Prejudice,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2015-0360,NA,10.1257/app.20150360,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-07-01,3,Do Free Trade Agreements Affect Tariffs of Nonmember Countries? A Theoretical and Empirical Investigation,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2019-0070,NA,10.1257/app.20190070,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-04-01,2,The Evolution of Work in the United States,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2017-0231,NA,10.1257/app.20170231,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-07-01,3,Fenced Out: The Impact of Border Construction on US-Mexico Migration,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2017-0778,NA,10.1257/app.20170778,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-04-01,2,Politics in the Family: Nepotism and the Hiring Decisions of Italian Firms,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2014-0499,NA,10.1257/app.20140499,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-10-01,4,Wealth Shocks and Health Outcomes: Evidence from Stock Market Fluctuations,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2017-0717,NA,10.1257/app.20170717,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-01-01,1,Estimating Adjustment Frictions Using Nonlinear Budget Sets: Method and Evidence from the Earnings Test,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2015-0057,NA,10.1257/app.20150057,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-10-01,4,Social Networks as Contract Enforcement: Evidence from a Lab Experiment in the Field,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2016-0597,NA,10.1257/app.20160597,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-04-01,2,Banking the Unbanked? Evidence from Three Countries,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2016-0634,NA,10.1257/app.20160634,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-01-01,1,Free to Choose: Can School Choice Reduce Student Achievement?,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2018-0361,NA,10.1257/app.20180361,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-01-01,1,"Crafting Intellectual Property Rights: Implications for Patent Assertion Entities, Litigation, and Innovation",12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2017-0042,NA,10.1257/app.20170042,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-10-01,4,Mentors or Teachers? Microenterprise Training in Kenya,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2018-0192,NA,10.1257/app.20180192,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-01-01,1,"Early Voting Laws, Voter Turnout, and Partisan Vote Composition: Evidence from Ohio",12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2017-0411,NA,10.1257/app.20170411,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-04-01,2,Was the First Public Health Campaign Successful?,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2016-0089,NA,10.1257/app.20160089,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-01-01,1,Social Media and Corruption,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2016-0626,NA,10.1257/app.20160626,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-07-01,3,Academic Peer Effects with Different Group Assignment Policies: Residential Tracking versus Random Assignment,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2016-0056,NA,10.1257/app.20160056,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-07-01,3,Life after Lead: Effects of Early Interventions for Children Exposed to Lead,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2017-0476,NA,10.1257/app.20170476,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-10-01,4,Allocating Scarce Organs: How a Change in Supply Affects Transplant Waiting Lists and Transplant Recipients,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2016-0469,NA,10.1257/app.20160469,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-07-01,3,Incentivizing Safer Sexual Behavior: Evidence from a Lottery Experiment on HIV Prevention,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2016-0510,NA,10.1257/app.20160510,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-10-01,4,Why Has Urban Inequality Increased?,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2017-0579,NA,10.1257/app.20170579,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-01-01,1,Tipping and the Effects of Segregation,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2017-0295,NA,10.1257/app.20170295,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-04-01,2,Health Care Spending and Utilization in Public and Private Medicare,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2018-0426,NA,10.1257/app.20180426,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-07-01,3,Gender Differences in the Choice of Major: The Importance of Female Role Models,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2017-0482,NA,10.1257/app.20170482,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-01-01,1,Un-Fortunate Sons: Effects of the Vietnam Draft Lottery on the Next Generation’s Labor Market,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2016-0031,NA,10.1257/app.20160031,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-01-01,1,College Party Culture and Sexual Assault,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2017-0487,NA,10.1257/app.20170487,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-10-01,4,The Local Economic and Welfare Consequences of Hydraulic Fracturing,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0543,NA,10.1257/app.20170543,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-01-01,1,Are Credit Markets Still Local? Evidence from Bank Branch Closings,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0442,NA,10.1257/app.20170442,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-10-01,4,High Trade Costs and Their Consequences: An Estimated Dynamic Model of African Agricultural Storage and Trade,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2018-0666,NA,10.1257/app.20180666,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-07-01,3,The Value of Reference Letters: Experimental Evidence from South Africa,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2017-0299,NA,10.1257/app.20170299,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-01-01,1,Understanding the Average Impact of Microcredit Expansions: A Bayesian Hierarchical Analysis of Seven Randomized Experiments,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0008,NA,10.1257/app.20170008,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-07-01,3,Medium- and Long-Term Educational Consequences of Alternative Conditional Cash Transfer Designs: Experimental Evidence from Colombia,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2016-0618,NA,10.1257/app.20160618,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-10-01,4,Does Electoral Competition Curb Party Favoritism?,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2017-0478,NA,10.1257/app.20170478,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-04-01,2,"Using Linked Survey and Administrative Data to Better Measure Income: Implications for Poverty, Program Effectiveness, and Holes in the Safety Net",11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2016-0484,NA,10.1257/app.20160484,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-10-01,4,There Is No Free House: Ethnic Patronage in a Kenyan Slum,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2015-0245,NA,10.1257/app.20150245,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-04-01,2,The Effects of Micro-entrepreneurship Programs on Labor Market Performance: Experimental Evidence from Chile,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2018-0036,NA,10.1257/app.20180036,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-01-01,1,Educational Investment Responses to Economic Opportunity: Evidence from Indian Road Construction,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2017-0511,NA,10.1257/app.20170511,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-01-01,1,Race to the Bottom? Local Tax Break Competition and Business Location,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2018-0010,NA,10.1257/app.20180010,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-10-01,4,Children and Gender Inequality: Evidence from Denmark,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0690,NA,10.1257/app.20170690,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-04-01,2,Compliance Behavior in Networks: Evidence from a Field Experiment,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2018-0286,NA,10.1257/app.20180286,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-10-01,4,Peer Effects in Legislative Voting,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2016-0390,NA,10.1257/app.20160390,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-07-01,3,Emotional Judges and Unlucky Juveniles,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2017-0599,NA,10.1257/app.20170599,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-10-01,4,Increasing Access to Selective High Schools through Place-Based Affirmative Action: Unintended Consequences,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2018-0100,NA,10.1257/app.20180100,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-07-01,3,"ProPelled: The Effects of Grants on Graduation, Earnings, and Welfare",11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2016-0350,NA,10.1257/app.20160350,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-04-01,2,Externalities and Taxation of Supplemental Insurance: A Study of Medicare and Medigap,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0574,NA,10.1257/app.20170574,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-07-01,3,Multilateral Trade Bargaining: A First Look at the GATT Bargaining Records,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2017-0068,NA,10.1257/app.20170068,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-10-01,4,Identifying Sorting in Practice,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2018-0518,NA,10.1257/app.20180518,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-10-01,4,The Elasticity of Science,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2016-0195,NA,10.1257/app.20160195,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-07-01,3,The Family Peer Effect on Mothers' Labor Supply,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2017-0328,NA,10.1257/app.20170328,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-01-01,1,The Welfare Effects of Nudges: A Case Study of Energy Use Social Comparisons,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0086,NA,10.1257/app.20170086,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-10-01,4,Does Cheap Talk Affect Market Outcomes? Evidence from eBay,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2015-0369,NA,10.1257/app.20150369,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-01-01,1,The Impact of AIDS Treatment on Savings and Human Capital Investment in Malawi,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2017-0382,NA,10.1257/app.20170382,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-10-01,4,The Not-So-Hot Melting Pot: The Persistence of Outcomes for Descendants of the Age of Mass Migration,12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2017-0572,NA,10.1257/app.20170572,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-07-01,3,Do 40-Year-Old Facts Still Matter? Long-Run Effects of Federal Oversight under the Voting Rights Act,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2016-0150,NA,10.1257/app.20160150,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-04-01,2,Asymmetric Information and Remittances: Evidence from Matched Administrative Data,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2017-0520,NA,10.1257/app.20170520,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-07-01,3,The Causes and Consequences of Test Score Manipulation: Evidence from the New York Regents Examinations,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0566,NA,10.1257/app.20170566,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-04-01,2,Bridging the Intention-Behavior Gap? The Effect of Plan-Making Prompts on Job Search and Employment,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0286,NA,10.1257/app.20170286,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-01-01,1,Severe Air Pollution and Labor Productivity: Evidence from Industrial Towns in China,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0163,NA,10.1257/app.20170163,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-01-01,1,Job Search Periods for Welfare Applicants: Evidence from a Randomized Experiment,11,,1945-7790,2019,TRUE,AEJApp
